,mean,mean_se,mean_ci_lower,mean_ci_upper
2023-03-10,676742577.1545386,199216.00202666817,676352120.9654223,677133033.343655
2023-03-11,676911053.9027907,423223.62757839257,676081550.8353306,677740556.9702507
2023-03-12,677075669.7961609,688927.7400149192,675725396.2377812,678425943.3545407
2023-03-13,677236513.3109559,989230.9681075155,675297656.2410735,679175370.3808383
2023-03-14,677393670.8959372,1318951.5914836538,674808573.2792774,679978768.512597
2023-03-15,677547227.0187851,1674185.780291991,674265883.1859838,680828570.8515865
2023-03-16,677697264.2114978,2051862.074294903,673675688.4446361,681718839.9783595
2023-03-17,677843863.1147494,2449480.72575869,673042969.1114373,682644757.1180615
2023-03-18,677987102.5212328,2864954.3668732485,672371895.1448106,683602309.8976551
2023-03-19,678127059.4180079,3296505.150587365,671666028.0480058,684588090.7880099
2023-03-20,678263809.0278797,3742595.102550051,670928457.4181657,685599160.6375937
2023-03-21,678397424.8498293,4201877.044182502,670161897.175766,686632952.5238926
2023-03-22,678527978.6985166,4673158.844094509,669368755.6700566,687687201.7269766
2023-03-23,678655540.7428793,5155376.642060392,668551188.1977018,688759893.2880567
2023-03-24,678780179.5438459,5647574.313359355,667711137.289648,689849221.7980437
2023-03-25,678901962.091186,6148887.396241793,666850364.2495599,690953559.9328122
2023-03-26,679020953.8395151,6658530.289502907,665970474.2821203,692071433.3969098
2023-03-27,679137218.7434742,7175785.897067818,665072936.8244509,693201500.6624976
2023-03-28,679250819.2921044,7699997.137900991,664159102.2207569,694342536.3634518
2023-03-29,679361816.542432,8230559.9013428,663230215.5632005,695493417.5216634
2023-03-30,679470270.1522855,8766917.13899582,662287428.3044068,696653112.0001642
2023-03-31,679576238.41236,9308553.862085579,661331808.094521,697820668.7301989
2023-04-01,679679778.2775463,9854992.86878328,660364347.186832,698995209.3682606
2023-04-02,679780945.3975431,10405791.066340005,659385969.676868,700175921.1182182
2023-04-03,679879794.1467667,10960536.28265737,658397537.7815137,701362050.5120196
2023-04-04,679976377.6535758,11518844.484196164,657399857.3210335,702552897.9861181
2023-04-05,680070747.8288264,12080357.334005764,656393682.5338008,703747813.123852
2023-04-06,680162955.3937728,12644740.03660143,655379720.3281623,704946190.4593834
2023-04-07,680253049.9073281,13211679.426450351,654358634.0561967,706147465.7584596
2023-04-08,680341079.7927012,13780882.264683021,653331046.8787358,707351112.7066667
